Geneid	Ctrl_0h_R2	Ctrl_0h_R3	Ctrl_CpG_2h_R2	Ctrl_CpG_2h_R3	Ctrl_CpG_6h_R2	Ctrl_CpG_6h_R3	SMRT_0h_R2	SMRT_0h_R3	SMRT_CpG_2h_R2	SMRT_CpG_2h_R3	SMRT_CpG_6h_R2	SMRT_CpG_6h_R3
Vmn1r131	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r111	0	0	0	0	0	0	0	0	0	0	0	0
Gm6902	0	0	0	0	0	0	0	0	0	0	0	0
Gm4567	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r112	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r113	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r114	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r115	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r116	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r117	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r119	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r120	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r121	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r122	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r123	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r124	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r125	0	0	0	0	1	0	0	0	0	0	0	0
Vmn1r126	0	0	0	0	0	0	0	0	0	0	0	0
Gm4175	0	0	0	0	0	0	0	0	0	0	0	0
Gm4214	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r127	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r128	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r129	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r132	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r139	0	0	0	0	0	0	0	0	0	0	0	0
Gm4216	0	0	0	0	0	0	0	0	0	0	0	0
Gm4177	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r135	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r163	0	0	0	0	0	0	0	0	0	0	0	0
Gm5725	0	0	0	0	0	0	0	0	0	0	0	0
Gm8720	0	0	0	0	0	0	0	0	0	0	0	0
Gm5891	0	0	0	0	0	0	0	0	0	0	0	0
Gm10662	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r148	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r151	0	0	0	0	0	0	0	0	0	0	0	0
Gm8693	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r157	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r158	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r159	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r160	0	0	0	0	0	0	0	0	0	0	0	0
Nlrp4e	0	0	0	0	0	0	0	0	0	0	3	0
Nlrp5	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r167	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r168	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r169	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r170	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r171	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r172	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r173	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r174	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r175	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r176	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r177	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r178	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r179	1	0	0	0	0	0	0	0	0	0	0	0
Vmn1r180	1	0	0	0	0	0	0	0	0	0	0	0
Vmn1r181	0	0	0	0	0	0	0	0	0	0	0	0
V1rd18	0	0	0	0	0	0	0	0	0	0	0	0
V1rd19	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r183	0	0	0	0	0	0	0	0	0	0	0	0
Zfp180	414	512	275	331	346	342	616	844	466	517	602	521
Zfp112	5	12	2	11	0	3	35	38	37	21	38	24
Zfp235	52	55	25	36	66	58	73	115	47	39	69	77
Zfp114	0	1	0	0	0	0	0	1	1	0	0	1
Zfp111	158	157	108	128	192	217	504	592	398	411	575	502
Zfp109	16	13	10	6	9	12	53	55	39	40	56	46
Zfp108	1	4	4	1	3	1	18	25	6	2	5	5
Zfp93	30	37	23	22	33	40	60	50	27	28	62	54
Zfp61	139	161	66	49	68	77	167	223	51	55	77	76
Zfp94	32	46	29	28	50	57	56	85	62	61	107	75
Tescl	0	0	0	0	0	0	0	1	1	2	1	1
Lypd5	0	0	0	0	0	0	0	0	0	0	0	0
Kcnn4	9	11	52	52	3	6	0	4	17	7	1	1
Smg9	495	557	384	496	289	418	667	825	662	640	672	679
Irgc1	0	0	0	0	0	0	0	0	1	0	0	1
Plaur	2	1	23	36	1	1	0	1	15	4	1	4
Cadm4	5	11	16	18	4	4	7	1	3	3	7	6
Zfp428	73	60	75	69	81	185	41	39	80	42	131	145
Irgq	320	261	203	324	203	211	464	541	323	469	277	248
Pinlyp	1	1	2	1	0	0	0	1	0	0	0	0
Xrcc1	702	737	460	680	503	625	656	890	601	779	660	689
Zfp575	0	0	1	0	0	0	1	8	3	1	0	2
Ethe1	114	118	70	86	39	50	112	152	112	120	60	68
Phldb3	53	69	41	29	15	20	40	78	37	38	21	36
Lypd3	0	0	0	0	0	0	0	0	0	0	0	0
Gm4598	0	1	0	0	0	0	0	0	1	1	0	0
Tex101	0	1	0	0	0	0	0	1	0	0	0	0
BC049730	0	0	0	0	0	0	0	0	0	0	0	0
Gm4763	0	0	0	0	0	0	0	0	0	0	0	0
Cd177	0	0	0	0	0	0	0	0	0	0	0	0
Ceacam10	0	0	0	0	0	0	0	0	0	0	0	0
Gm5893	0	0	0	0	0	0	0	0	0	0	0	0
Lypd4	0	0	0	0	0	1	0	0	0	0	0	0
Dmrtc2	0	0	0	0	0	0	0	0	0	0	0	0
Rps19	9661	9170	7944	9652	6203	9739	9045	11894	11567	12789	10626	11132
Cd79a	1	2	0	1	0	2	1	8	1	1	1	4
Arhgef1	3242	3463	1872	2746	1763	2278	4089	5240	3521	4340	2575	2612
Rabac1	630	541	504	450	205	270	743	1004	926	957	329	290
Mir7046	0	0	0	0	0	0	0	0	0	0	0	0
Atp1a3	0	0	1	0	0	0	0	1	0	0	0	0
Mir7047	0	0	0	0	0	0	0	0	0	0	0	0
Grik5	1	12	3	3	3	10	1	1	5	4	2	3
Zfp574	437	434	289	348	454	578	432	549	389	446	522	601
Pou2f2	28	39	99	74	1517	1859	9	14	84	45	1191	1327
Mir6537	0	0	0	0	0	0	0	0	0	0	0	0
D930028M14Rik	0	1	0	1	2	2	0	0	1	0	1	1
Dedd2	459	418	152	233	178	231	484	566	134	160	324	301
Mir7048	0	0	0	0	4	0	0	2	0	0	0	0
Zfp526	264	257	104	165	135	194	269	385	115	165	169	187
Gsk3a	1163	1266	839	1093	980	1163	1543	1866	1467	1738	1745	1639
9130221H12Rik	106	99	43	52	70	65	120	141	45	63	92	63
Erf	1483	1483	882	1668	721	918	1795	2263	1572	2214	1335	1626
Cic	4529	4791	3198	3688	2650	3597	6256	8278	4621	5149	4009	4872
Pafah1b3	727	543	533	500	256	241	627	768	537	650	317	280
Prr19	0	1	0	0	0	0	0	2	0	0	0	0
Tmem145	0	1	0	1	1	0	0	1	0	0	0	0
Megf8	576	607	338	378	562	727	496	778	365	492	652	711
Cnfn	0	0	0	0	0	0	0	1	0	0	0	0
4732471J01Rik	13	29	10	9	24	27	21	24	9	22	35	22
Lipe	1023	975	496	593	1158	1288	1454	1774	1114	1252	2373	1974
Cxcl17	0	0	0	1	1	0	0	0	0	2	1	0
Ceacam1	0	3	1	0	0	0	0	0	0	0	1	0
Ceacam2	2	2	0	1	3	1	1	1	0	0	1	1
Erich4	0	0	1	0	0	0	0	0	0	0	1	0
Atp5sl	237	263	115	165	187	241	338	476	265	289	424	370
B3gnt8	1	0	0	0	1	2	0	1	1	1	2	2
Bckdha	394	326	253	245	172	186	404	531	394	437	327	324
Exosc5	694	700	565	664	420	519	628	910	714	729	688	571
Tmem91	4	1	2	0	3	7	4	3	1	0	3	2
B9d2	264	195	190	195	205	283	288	306	227	268	207	182
Tgfb1	7379	5395	5734	5922	5788	7143	6042	7656	6302	7486	3289	3683
Ccdc97	760	905	357	456	518	698	1117	1345	642	669	1257	1214
Hnrnpul1	7504	7286	4958	6031	4296	5595	9365	11008	8171	8817	8025	7448
Axl	37	26	33	34	55	109	42	109	63	122	246	339
Cyp2s1	2344	2220	619	889	94	107	3202	4558	792	1451	122	103
Cyp2b10	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2b13	1	0	0	1	0	0	0	0	0	0	0	0
Cyp2b9	0	0	0	0	0	0	0	0	0	0	1	0
Vmn1r184	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2a4	9	2	2	2	1	2	2	4	3	5	0	3
Nlrp9c	0	0	0	0	0	0	0	0	0	0	0	0
Nlrp4a	0	0	0	0	0	0	0	0	0	0	0	0
Nlrp9a	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r185	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2b23	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2b19	0	0	0	0	0	0	0	0	0	0	0	1
Cyp2g1	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2a5	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2a22	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2a12	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2f2	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2t4	0	2	2	1	11	4	5	4	3	2	6	6
Egln2	666	655	637	609	1307	1862	710	805	613	675	1134	1374
Rab4b	839	754	642	686	633	747	1259	1570	1253	1379	960	970
Mir3101	0	2	0	4	1	7	5	3	1	2	3	2
Mia	4	3	0	4	8	4	3	2	3	4	9	5
Snrpa	1771	1711	1451	1613	1706	1825	1466	1709	1527	1633	2117	1782
BC024978	92	114	81	117	155	146	130	196	142	152	254	213
Itpkc	198	176	270	328	252	305	203	222	597	864	363	337
Adck4	135	114	78	118	114	161	193	326	165	186	324	291
Numbl	89	129	45	46	38	47	90	113	51	42	36	43
Ltbp4	11	22	6	13	1	3	6	5	3	10	2	4
Shkbp1	1126	1022	737	799	641	695	1755	2150	1336	1627	1140	1038
Sptbn4	28	23	7	13	6	19	28	36	12	13	13	6
Blvrb	178	143	130	142	190	151	55	45	42	63	73	45
Sertad3	140	134	79	69	102	76	171	212	135	109	165	130
Sertad1	125	109	123	279	83	126	190	198	262	319	241	289
Prx	1	1	4	4	1	0	0	1	1	4	6	4
Hipk4	0	1	0	0	0	0	0	0	0	2	0	0
Pld3	155	96	60	72	40	42	86	106	43	64	50	62
2310022A10Rik	446	425	250	315	294	311	315	514	326	315	393	377
Akt2	2637	2498	2024	2437	2098	2181	2407	3038	2994	3246	2383	2023
Ttc9b	0	0	0	0	0	0	0	0	0	1	0	0
Map3k10	215	193	126	153	190	261	162	251	138	151	164	223
C030039L03Rik	6	8	5	7	2	9	13	15	9	6	15	15
Zfp60	193	191	120	125	205	159	263	279	166	133	305	215
Gm10046	0	0	0	0	0	0	0	0	0	0	0	0
Zfp626	251	341	238	246	415	379	493	563	433	467	615	458
Zfp59	151	137	117	115	170	143	267	269	258	225	277	204
Zfp607	108	145	64	113	95	102	134	178	100	118	97	79
1700049G17Rik	72	68	45	37	84	58	101	158	82	67	139	81
Zfp780b	223	291	197	201	256	242	386	475	346	347	485	331
Zfp850	373	462	388	373	429	385	561	615	638	642	777	505
Psmc4	3030	2837	2607	2818	3123	3408	3016	3631	3912	3897	4664	3935
Fcgbp	0	0	0	0	1	0	0	0	0	0	0	0
9530053A07Rik	0	0	1	0	0	1	0	0	0	0	0	0
Fbl	4111	4068	3529	4293	3010	3704	3399	4085	4221	4497	4652	4246
Dyrk1b	111	87	52	64	32	46	123	155	77	87	69	39
Eid2	0	0	0	0	0	0	2	0	0	1	3	0
Eid2b	84	72	52	58	116	116	108	120	103	78	183	187
BC089491	0	0	0	0	0	0	1	0	0	0	0	0
Dll3	0	2	0	0	1	0	2	0	0	0	0	0
Timm50	1653	1560	1350	1559	1211	1444	1518	2013	2059	1999	1857	1823
Supt5	3352	3447	2571	3311	3322	3902	3204	4349	3446	4150	4387	3868
Rps16	10400	9370	8714	9713	7218	10477	9845	12435	12055	13584	10729	11709
AF357399	11	3	6	18	15	4	14	9	18	17	25	11
Plekhg2	254	279	108	194	647	677	222	332	146	191	78	101
Zfp36	477	470	479	457	6460	7175	757	972	944	1335	1924	1762
Med29	235	217	175	180	496	491	298	352	263	275	470	401
Paf1	1059	1184	700	899	2081	2021	1135	1289	970	957	1400	1072
Samd4b	1100	1108	821	957	1229	1340	1251	1478	1257	1514	1354	1437
Gmfg	211	170	152	196	139	163	36	55	51	77	44	32
Lrfn1	139	126	18	39	47	51	23	32	13	6	6	12
Mir466f-2	0	0	0	0	0	0	0	0	0	0	0	0
1700028B04Rik	0	0	0	0	0	0	0	0	0	0	0	0
Ifnl2	0	0	4	5	0	1	1	0	1	1	1	4
Ifnl3	0	0	1	2	0	0	0	0	1	2	0	3
Sycn	0	0	0	0	0	0	0	0	0	0	0	0
Nccrp1	1	5	4	0	1	1	1	4	2	1	1	0
Pak4	703	706	408	405	511	680	906	1115	757	628	601	669
Mir7049	0	0	0	0	0	0	2	0	0	0	0	1
Papl	0	0	0	0	0	0	0	0	0	0	0	0
Fbxo27	0	0	0	0	0	0	0	0	0	0	0	1
Fbxo17	1	0	0	0	1	1	0	2	0	0	0	0
Mrps12	300	301	186	245	272	308	380	487	437	432	498	528
Sars2	349	418	197	319	288	319	344	460	286	338	378	373
Gm6537	1	0	0	0	0	0	0	0	0	0	1	0
Nfkbib	768	596	2008	2292	1188	1478	596	776	3408	3856	1782	1787
Sirt2	729	694	671	729	548	554	581	710	636	678	719	610
Gm19897	2	4	2	3	2	0	24	33	3	11	3	3
Rinl	1465	1526	827	802	1034	1110	2115	2819	1120	1227	2392	1889
Hnrnpl	6511	7044	4028	5441	3855	4350	6999	8037	5189	6092	4446	4221
Ech1	915	806	631	602	305	268	978	1196	974	995	381	257
Lgals4	1	2	0	1	0	0	3	2	0	0	0	1
Lgals6	0	0	0	0	0	1	0	0	0	0	0	0
Lgals7	1	0	0	0	0	0	0	0	0	0	0	0
Capn12	3	2	1	2	2	2	2	1	3	6	1	1
Actn4	7791	7457	6284	7352	4581	6083	7965	9495	8313	8785	7646	7643
Eif3k	3450	3045	2933	2959	2378	2786	3334	4381	4205	4434	3945	3239
Map4k1	4681	4934	3232	4156	2357	3005	6124	7979	5835	6670	4609	4002
Ryr1	806	788	742	856	374	420	1178	1576	1228	1544	792	764
Mir1963	0	0	0	0	0	0	0	0	0	0	0	0
Rasgrp4	3025	4407	2470	4058	939	1555	3421	4585	2673	3565	1242	1178
Fam98c	312	364	260	314	169	220	349	459	322	373	183	201
Spred3	81	129	68	78	33	47	45	56	39	41	39	26
Ggn	42	45	23	33	21	27	33	31	15	17	10	18
Psmd8	3212	2756	3125	3143	2658	3014	3235	3772	4817	4667	4960	4018
Catsperg1	2	9	4	12	15	9	13	10	12	6	17	9
Kcnk6	1280	1255	907	1194	1275	1446	1680	2091	2397	3415	1389	1018
Yif1b	914	785	756	846	404	605	1021	1217	1277	1285	723	804
2200002D01Rik	4	5	2	1	0	4	3	7	4	11	2	2
Spint2	1722	1569	1567	1715	657	1021	1847	2285	2095	2334	947	958
Ppp1r14a	559	484	303	343	61	97	614	734	290	412	111	70
Dpf1	108	118	71	64	45	61	82	82	72	70	42	46
Sipa1l3	669	784	243	386	466	506	558	944	310	526	663	774
Catsperg2	0	0	0	0	0	0	0	0	0	0	0	0
Zfp84	445	515	556	553	474	489	703	889	1236	1352	878	772
Mir1964	0	1	0	0	0	2	0	0	2	8	1	3
Zfp30	0	3	0	0	1	0	0	0	1	2	0	1
Zfp790	281	277	208	178	212	258	374	517	367	395	397	341
Zfp940	20	21	12	15	28	22	10	11	6	5	9	14
Zfp420	17	15	7	13	21	24	31	37	25	29	44	40
Zfp27	118	121	102	121	135	145	160	211	152	190	228	189
Mir7668	0	0	0	0	0	0	0	0	0	0	0	0
Zfp383	24	42	20	27	47	42	63	55	47	37	64	52
Zfp74	141	187	61	67	81	90	120	127	48	52	78	57
Zfp568	781	1059	639	833	654	692	949	1118	1013	989	893	759
Zfp14	12	7	2	6	6	3	36	54	12	10	20	18
Zfp82	80	86	63	57	74	56	145	114	82	56	100	51
Zfp566	68	77	32	48	50	45	79	83	62	46	101	62
Zfp260	702	703	504	515	413	323	764	821	892	893	611	416
Zfp382	239	292	193	292	204	170	372	436	404	402	279	239
Zfp146	754	921	586	824	745	772	920	1094	1082	1152	1326	1006
Gm5113	24	34	12	11	17	24	39	21	17	7	35	24
Cox7a1	28	30	19	27	13	15	38	39	26	27	20	20
Capns1	4348	3507	3918	3569	2898	3312	5713	6991	6902	6851	5242	4913
Tbcb	1783	1455	1259	1419	972	1299	1716	2219	2028	2137	1812	1716
Polr2i	269	253	163	166	167	223	291	367	201	227	227	241
Ovol3	1	3	1	3	1	0	3	0	1	1	1	1
Wdr62	733	862	403	565	361	395	921	1096	805	865	469	457
Clip3	0	0	0	0	1	0	53	80	36	39	35	39
Alkbh6	188	168	198	162	208	256	239	316	227	282	381	353
Syne4	3	5	8	7	7	13	4	15	5	5	11	15
Sdhaf1	147	126	189	154	220	276	148	196	146	127	437	466
Lrfn3	18	19	10	10	9	15	16	38	18	20	26	52
Tyrobp	223	356	159	294	30	64	19	34	18	37	5	4
Hcst	13	5	9	14	2	13	4	2	0	8	4	2
Nfkbid	91	166	382	546	188	240	123	128	540	840	259	214
Aplp1	112	82	113	85	39	49	68	72	64	70	25	35
Kirrel2	0	0	0	0	0	0	0	0	0	0	0	0
Nphs1	0	0	1	0	0	0	0	0	0	2	0	0
Nphs1os	0	0	0	0	0	0	0	0	0	0	0	0
Prodh2	0	0	0	0	0	0	0	0	0	0	0	0
Arhgap33os	0	0	0	0	0	0	0	0	0	0	0	0
Arhgap33	38	107	28	83	27	32	318	312	195	244	65	80
Proser3	34	57	24	24	51	61	66	88	27	24	83	84
Gm38670	7	10	3	9	6	4	10	8	9	3	10	7
Hspb6	60	74	29	41	57	63	100	89	48	46	68	69
Lin37	199	220	118	112	228	224	336	375	223	237	383	344
Psenen	589	505	477	488	514	632	996	1307	1117	1176	1142	978
U2af1l4	329	427	268	371	325	421	494	658	490	558	634	554
Igflr1	24	99	28	82	48	63	217	307	126	156	78	70
Kmt2b	1822	2215	1702	2039	1799	2216	2295	2899	2511	2693	2639	2654
Mir3569	0	1	0	0	0	0	0	0	1	0	0	1
Zbtb32	37	49	93	81	68	74	6	5	28	15	37	39
Upk1a	6	5	3	3	7	5	7	5	9	9	6	6
Cox6b1	2097	1860	1681	1830	1663	2042	2314	2672	2859	2982	2868	2364
Etv2	0	0	0	0	0	0	3	2	0	0	1	1
Rbm42	2398	2159	1825	2167	1602	2126	2535	3235	2913	3208	2964	2874
Haus5	632	953	379	637	502	581	834	1084	627	660	636	617
Pmis2	0	0	0	0	0	0	0	0	1	0	0	0
2200002J24Rik	0	0	0	0	0	0	0	2	0	0	0	0
Atp4a	3	11	3	2	7	4	12	8	6	2	6	6
Tmem147	551	643	415	564	291	344	713	891	686	730	598	602
Gapdhs	11	23	2	5	5	13	17	26	9	14	6	11
Sbsn	1	1	0	1	0	2	4	4	3	0	2	5
Dmkn	0	0	0	0	0	0	0	0	0	0	0	0
Krtdap	0	0	0	0	0	0	0	0	0	0	0	0
Ffar2	11	9	9	5	18	22	1	6	6	6	1	2
Ffar3	1	0	0	0	0	0	1	0	0	1	0	0
Ffar1	0	1	0	0	0	0	0	0	0	0	0	0
Cd22	12	20	2	15	16	8	11	26	6	7	3	4
Mag	2	0	0	0	0	0	18	12	9	9	4	0
Hamp2	0	0	0	0	0	0	0	0	0	0	0	0
Hamp	0	0	0	0	16	42	0	0	1	1	2	2
Usf2	770	755	365	466	484	618	1070	1268	506	701	558	641
Lsr	153	141	99	139	59	74	151	177	76	117	30	26
Fam187b	1	3	1	1	0	0	1	1	0	2	1	1
Fxyd5	3211	3267	2269	2815	473	645	6479	7456	6175	6469	1425	1139
Mir7050	2	5	0	2	3	2	10	15	2	6	5	1
Fxyd7	0	1	0	0	1	0	4	1	1	1	2	1
Fxyd1	0	0	0	0	0	0	2	1	0	0	0	0
Lgi4	0	1	3	4	0	2	4	2	3	2	0	2
Fxyd3	0	0	0	0	0	0	0	0	0	0	0	0
Hpn	0	0	0	1	0	0	0	0	0	0	0	0
Scn1b	0	2	3	3	7	6	2	2	14	2	10	15
Gramd1a	189	257	311	306	1222	1268	489	581	1899	1487	1923	2056
Gm10640	0	0	0	0	1	0	0	0	1	1	0	0
Scgb1b2	0	0	0	0	0	0	0	0	0	0	0	0
Scgb2b2	0	0	0	0	0	0	0	0	0	0	0	0
Scgb2b3	0	0	0	0	0	0	0	0	0	0	0	0
Scgb1b3	0	0	0	0	0	0	0	0	0	0	0	0
Scgb2b7	0	0	0	0	0	0	0	0	0	0	0	0
Scgb1b7	0	0	0	0	0	0	0	0	0	0	0	0
Scgb2b12	0	0	0	0	0	0	0	0	0	0	0	0
Scgb1b29	0	0	0	0	0	0	0	0	0	0	0	0
Scgb2b17	0	0	0	0	0	0	0	0	0	0	0	0
Scgb2b15	0	0	0	0	0	0	0	0	0	0	0	0
Scgb2b19	0	0	0	0	0	0	0	0	0	0	0	0
Scgb1b19	0	0	0	0	0	0	0	0	0	0	0	0
Scgb2b20	0	0	0	0	0	0	0	0	0	0	0	0
Scgb1b20	0	0	0	0	0	0	0	0	0	0	0	0
Scgb2b23-ps	0	0	0	0	0	0	0	0	0	0	0	0
Scgb2b24	0	0	0	0	0	0	0	0	0	0	0	0
Scgb1b24	0	0	0	0	0	0	0	0	0	0	0	0
Scgb2b26	0	0	0	0	0	0	0	0	0	0	0	0
Scgb2b27	0	0	0	0	0	0	0	0	0	0	0	0
Scgb1b27	0	0	0	0	0	0	0	0	0	0	0	0
Scgb1b30	0	0	0	0	0	0	0	0	0	1	1	0
Wtip	159	164	113	115	148	198	194	285	166	190	181	223
Uba2	3466	3936	1391	1950	1959	1911	3062	3558	1665	1858	2323	1840
Pdcd2l	449	417	172	205	232	207	305	398	176	181	267	226
Gpi1	13179	11640	10515	11149	6255	7198	10138	12652	10380	11395	6380	5652
4931406P16Rik	856	924	555	663	433	472	829	1081	714	746	683	592
Lsm14a	3222	3532	2557	2846	2928	2804	3319	3929	3426	3365	3965	3156
Kctd15	0	0	0	0	0	0	0	0	0	0	1	0
Chst8	0	0	0	0	0	0	0	0	0	0	0	0
Pepd	780	853	538	760	627	761	583	803	640	811	721	669
Cebpg	580	656	404	486	436	430	775	847	561	770	625	398
Cebpa	4	4	7	14	4	10	8	8	12	19	1	3
Slc7a10	0	0	0	0	0	0	0	0	0	0	0	0
Lrp3	0	0	0	0	0	0	0	1	0	0	0	0
Gpatch1	341	356	193	192	263	294	242	317	218	154	382	282
Rhpn2	15	10	13	14	6	5	13	6	5	2	5	0
Faap24	261	267	193	159	272	285	310	338	228	236	527	398
Cep89	296	263	188	208	193	196	348	389	251	272	382	303
Slc7a9	0	0	0	0	0	1	0	0	0	0	0	0
Tdrd12	0	1	0	0	0	0	0	0	0	0	0	0
Nudt19	213	264	98	143	111	114	115	165	57	78	71	96
Rgs9bp	6	4	7	4	7	7	4	5	20	21	9	6
Ankrd27	1048	973	541	664	802	703	741	992	525	615	977	965
Pdcd5	488	499	350	462	404	433	389	445	385	420	417	406
Dpy19l3	745	900	326	432	187	184	755	919	315	393	284	174
Zfp507	0	0	1	0	0	0	0	0	0	0	0	0
E130304I02Rik	0	0	0	0	0	0	0	0	0	0	0	0
Tshz3	0	0	0	0	0	0	0	0	0	0	0	0
Zfp536	0	0	0	0	0	0	0	0	0	0	0	0
Uri1	819	865	370	439	673	541	881	1091	491	549	783	653
Ccne1	613	740	462	639	654	582	656	933	633	633	613	541
1600014C10Rik	209	174	86	74	161	178	185	273	83	66	979	913
Plekhf1	64	76	33	86	40	66	94	121	93	75	71	69
Pop4	689	759	589	728	588	582	724	799	763	734	905	700
Gm5591	0	0	0	0	0	0	0	0	0	0	0	0
Gm21276	0	0	0	0	0	0	0	0	0	0	0	0
Gm5114	0	0	0	0	0	0	0	0	0	0	0	0
Zfp939	33	38	32	55	45	36	34	44	56	62	38	32
Zfp619	214	321	311	306	201	228	349	461	667	670	442	436
4933402C06Rik	0	0	0	0	0	0	0	0	0	0	0	0
A230077H06Rik	0	0	0	0	0	0	0	0	0	0	0	0
Vstm2b	0	0	0	0	0	0	0	0	0	0	0	0
4930433I11Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm4884	0	0	0	0	0	0	0	0	0	0	0	0
1700110I07Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm5592	0	0	0	0	0	0	0	0	0	0	0	0
AI987944	273	275	163	154	401	282	361	448	211	176	386	226
Vmn2r57	0	0	0	0	0	0	0	1	0	1	0	0
AW146154	35	50	13	22	35	44	26	34	12	9	39	19
Zfp788	153	227	99	106	200	150	231	253	121	120	205	135
Vmn2r-ps54	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r58	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r59	0	0	0	0	1	0	0	0	0	0	0	0
Vmn2r60	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r61	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r-ps60	0	0	0	0	0	0	0	0	0	0	0	0
4933421I07Rik	0	0	0	0	0	0	0	0	0	0	0	0
Zfp141	371	385	121	127	153	122	409	474	126	150	244	162
9830147E19Rik	12	39	17	20	28	8	9	10	7	4	21	11
Gm5595	41	62	35	24	47	43	34	42	14	16	35	21
Vmn2r62	0	0	0	0	0	0	0	0	0	0	0	0
Gm2381	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r63	0	0	0	0	0	0	0	0	0	0	0	0
Gm9268	0	0	0	0	0	0	0	0	0	0	0	0
Zfp936	0	0	0	0	0	0	0	0	0	0	0	0
EU599041	0	0	0	0	0	0	0	0	0	0	0	0
Zfp715	280	333	199	293	292	191	490	536	333	340	384	265
Siglecf	377	572	538	758	201	305	1945	2412	2058	1953	755	681
Siglecg	27	54	15	58	2	5	135	151	68	89	5	5
Lim2	0	0	0	0	0	0	0	0	0	0	0	0
Nkg7	0	0	0	0	0	0	1	3	3	0	0	2
Cldnd2	0	0	0	0	0	0	2	0	1	0	0	1
Etfb	1666	1421	1276	1399	723	901	1050	1194	1185	1247	661	576
Mir7051	0	1	1	2	3	1	0	1	0	0	2	0
Vsig10l	7	12	7	12	4	11	10	17	10	8	5	4
Iglon5	0	0	0	0	0	0	0	0	0	0	0	0
4931406B18Rik	0	0	0	0	0	0	1	0	0	0	0	0
Cd33	4	6	4	10	0	0	6	12	3	4	0	1
Zfp658	7	6	1	0	0	0	3	8	2	5	1	2
Zfp719	89	78	69	66	113	95	116	169	90	112	192	160
Zfp819	0	0	0	0	0	0	1	1	1	2	7	3
Ceacam18	0	0	0	1	1	0	0	0	0	0	0	0
Siglece	1	1	2	1	1	1	2	1	0	0	0	0
Ctu1	185	161	156	155	132	185	170	224	191	217	267	306
Klk14	0	0	0	0	0	0	0	0	0	0	0	0
Klk13	0	0	0	0	0	0	0	0	0	0	0	0
2310002F09Rik	0	0	0	0	0	0	0	0	0	0	0	0
